2025-06-15 18:00:20,912 - INFO - Done: Lot 0.01, Loss 5, TP 10 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:00:51,439 - INFO - Done: Lot 0.01, Loss 5, TP 20 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:01:20,344 - INFO - Done: Lot 0.01, Loss 5, TP 30 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:01:49,736 - INFO - Done: Lot 0.01, Loss 5, TP 40 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:02:18,760 - INFO - Done: Lot 0.01, Loss 5, TP 50 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:02:48,398 - INFO - Done: Lot 0.01, Loss 5, TP 60 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:03:18,448 - INFO - Done: Lot 0.01, Loss 5, TP 70 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:03:47,924 - INFO - Done: Lot 0.01, Loss 5, TP 80 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:04:17,409 - INFO - Done: Lot 0.01, Loss 5, TP 90 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:04:46,944 - INFO - Done: Lot 0.01, Loss 5, TP 100 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:05:17,143 - INFO - Done: Lot 0.01, Loss 10, TP 10 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:05:46,885 - INFO - Done: Lot 0.01, Loss 10, TP 20 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:06:16,491 - INFO - Done: Lot 0.01, Loss 10, TP 30 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:06:45,895 - INFO - Done: Lot 0.01, Loss 10, TP 40 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:07:15,441 - INFO - Done: Lot 0.01, Loss 10, TP 50 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:07:45,119 - INFO - Done: Lot 0.01, Loss 10, TP 60 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:08:14,572 - INFO - Done: Lot 0.01, Loss 10, TP 70 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:08:44,112 - INFO - Done: Lot 0.01, Loss 10, TP 80 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:09:13,639 - INFO - Done: Lot 0.01, Loss 10, TP 90 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:09:44,077 - INFO - Done: Lot 0.01, Loss 10, TP 100 for /Users/ahmed/Desktop/backtest/DATA1.csv
2025-06-15 18:10:19,736 - INFO - Done: Lot 0.01, Loss 15, TP 10 for /Users/ahmed/Desktop/backtest/DATA1.csv
