lot_size,loss_trigger,profit_target,year_end_net_profit,year_end_net_capital
0.06,45,100,0.04,1000.04
0.06,35,90,0.04,1000.04
0.06,40,30,0.04,1000.04
0.06,40,50,0.04,1000.04
0.06,40,60,0.04,1000.04
0.06,40,100,0.04,1000.04
0.06,45,30,0.04,1000.04
0.06,45,40,0.04,1000.04
0.06,45,60,0.04,1000.04
0.06,45,70,0.04,1000.04
0.06,25,60,0.04,1000.04
0.06,50,10,0.04,1000.04
0.06,25,90,0.04,1000.04
0.06,15,100,0.04,1000.04
0.06,25,50,0.04,1000.04
0.06,15,30,0.04,1000.04
0.06,5,50,0.04,1000.04
0.06,5,70,0.04,1000.04
0.06,5,80,0.04,1000.04
0.06,5,90,0.04,1000.04
0.06,10,20,0.04,1000.04
0.06,10,30,0.04,1000.04
0.06,10,50,0.04,1000.04
0.06,10,70,0.04,1000.04
0.06,10,80,0.04,1000.04
0.06,15,10,0.04,1000.04
0.06,15,20,0.04,1000.04
0.06,15,70,0.04,1000.04
0.06,25,30,0.04,1000.04
0.06,15,80,0.04,1000.04
0.06,15,90,0.04,1000.04
0.06,50,30,0.04,1000.04
0.06,20,10,0.04,1000.04
0.06,20,20,0.04,1000.04
0.06,20,40,0.04,1000.04
0.06,20,50,0.04,1000.04
0.06,20,70,0.04,1000.04
0.06,20,80,0.04,1000.04
0.06,20,100,0.04,1000.04
0.06,25,10,0.04,1000.04
0.06,50,20,0.04,1000.04
0.07,10,20,0.04,1000.04
0.06,50,50,0.04,1000.04
0.07,40,80,0.04,1000.04
0.07,30,10,0.04,1000.04
0.07,30,60,0.04,1000.04
0.07,30,80,0.04,1000.04
0.07,35,20,0.04,1000.04
0.07,35,60,0.04,1000.04
0.07,35,80,0.04,1000.04
0.07,35,90,0.04,1000.04
0.07,40,20,0.04,1000.04
0.07,40,40,0.04,1000.04
0.07,40,50,0.04,1000.04
0.07,40,60,0.04,1000.04
0.07,40,90,0.04,1000.04
0.06,50,60,0.04,1000.04
0.07,40,100,0.04,1000.04
0.07,45,10,0.04,1000.04
0.07,45,70,0.04,1000.04
0.07,45,80,0.04,1000.04
0.07,50,10,0.04,1000.04
0.07,50,30,0.04,1000.04
0.07,50,40,0.04,1000.04
0.07,50,50,0.04,1000.04
0.07,50,70,0.04,1000.04
0.07,50,80,0.04,1000.04
0.06,5,30,0.04,1000.04
0.07,25,100,0.04,1000.04
0.07,25,90,0.04,1000.04
0.07,25,60,0.04,1000.04
0.07,25,40,0.04,1000.04
0.06,50,70,0.04,1000.04
0.06,50,80,0.04,1000.04
0.06,50,100,0.04,1000.04
0.07,5,20,0.04,1000.04
0.07,5,30,0.04,1000.04
0.07,5,40,0.04,1000.04
0.07,5,50,0.04,1000.04
0.07,5,60,0.04,1000.04
0.07,10,10,0.04,1000.04
0.07,10,30,0.04,1000.04
0.07,10,90,0.04,1000.04
0.07,10,100,0.04,1000.04
0.07,15,10,0.04,1000.04
0.07,15,20,0.04,1000.04
0.07,15,50,0.04,1000.04
0.07,15,90,0.04,1000.04
0.07,15,100,0.04,1000.04
0.07,20,10,0.04,1000.04
0.07,20,50,0.04,1000.04
0.07,20,60,0.04,1000.04
0.07,20,70,0.04,1000.04
0.07,20,100,0.04,1000.04
0.07,25,30,0.04,1000.04
0.06,5,40,0.04,1000.04
0.06,5,10,0.04,1000.04
0.04,45,60,0.03,1000.03
0.05,20,100,0.03,1000.03
0.05,15,60,0.03,1000.03
0.05,15,70,0.03,1000.03
0.05,15,90,0.03,1000.03
0.05,20,10,0.03,1000.03
0.04,30,50,0.03,1000.03
0.04,30,40,0.03,1000.03
0.04,30,30,0.03,1000.03
0.04,30,20,0.03,1000.03
0.04,30,10,0.03,1000.03
0.04,25,100,0.03,1000.03
0.04,25,90,0.03,1000.03
0.04,25,80,0.03,1000.03
0.05,20,20,0.03,1000.03
0.05,20,50,0.03,1000.03
0.05,25,10,0.03,1000.03
0.04,50,40,0.03,1000.03
0.04,25,30,0.03,1000.03
0.05,25,40,0.03,1000.03
0.04,25,10,0.03,1000.03
0.05,25,70,0.03,1000.03
0.04,20,90,0.03,1000.03
0.04,20,80,0.03,1000.03
0.05,25,80,0.03,1000.03
0.04,20,60,0.03,1000.03
0.05,30,10,0.03,1000.03
0.04,20,40,0.03,1000.03
0.05,30,20,0.03,1000.03
0.04,20,20,0.03,1000.03
0.05,30,30,0.03,1000.03
0.05,30,40,0.03,1000.03
0.05,15,50,0.03,1000.03
0.04,35,10,0.03,1000.03
0.04,35,20,0.03,1000.03
0.05,15,40,0.03,1000.03
0.04,50,50,0.03,1000.03
0.04,50,60,0.03,1000.03
0.04,45,100,0.03,1000.03
0.04,45,90,0.03,1000.03
0.04,45,80,0.03,1000.03
0.04,45,70,0.03,1000.03
0.04,50,100,0.03,1000.03
0.05,5,10,0.03,1000.03
0.05,5,20,0.03,1000.03
0.04,45,30,0.03,1000.03
0.05,5,40,0.03,1000.03
0.04,45,10,0.03,1000.03
0.04,40,100,0.03,1000.03
0.05,5,50,0.03,1000.03
0.05,5,60,0.03,1000.03
0.04,40,70,0.03,1000.03
0.05,10,30,0.03,1000.03
0.04,40,50,0.03,1000.03
0.04,40,40,0.03,1000.03
0.05,10,50,0.03,1000.03
0.05,10,70,0.03,1000.03
0.04,40,10,0.03,1000.03
0.05,10,80,0.03,1000.03
0.04,35,90,0.03,1000.03
0.05,10,90,0.03,1000.03
0.04,35,70,0.03,1000.03
0.05,10,100,0.03,1000.03
0.04,35,50,0.03,1000.03
0.05,15,10,0.03,1000.03
0.04,15,80,0.03,1000.03
0.04,15,70,0.03,1000.03
0.05,30,80,0.03,1000.03
0.04,5,50,0.03,1000.03
0.04,5,30,0.03,1000.03
0.04,5,10,0.03,1000.03
0.05,40,20,0.03,1000.03
0.05,40,30,0.03,1000.03
0.05,40,40,0.03,1000.03
0.05,40,60,0.03,1000.03
0.05,40,70,0.03,1000.03
0.05,45,20,0.03,1000.03
0.05,45,30,0.03,1000.03
0.05,45,40,0.03,1000.03
0.05,45,70,0.03,1000.03
0.05,45,80,0.03,1000.03
0.05,50,20,0.03,1000.03
0.05,50,30,0.03,1000.03
0.05,50,50,0.03,1000.03
0.05,50,60,0.03,1000.03
0.05,50,70,0.03,1000.03
0.05,50,80,0.03,1000.03
0.05,50,90,0.03,1000.03
0.04,5,40,0.03,1000.03
0.05,40,80,0.03,1000.03
0.05,35,100,0.03,1000.03
0.05,35,30,0.03,1000.03
0.04,15,40,0.03,1000.03
0.04,15,30,0.03,1000.03
0.04,15,20,0.03,1000.03
0.05,30,100,0.03,1000.03
0.05,35,10,0.03,1000.03
0.04,10,90,0.03,1000.03
0.04,10,80,0.03,1000.03
0.04,10,70,0.03,1000.03
0.04,10,60,0.03,1000.03
0.05,35,20,0.03,1000.03
0.04,50,30,0.03,1000.03
0.05,35,70,0.03,1000.03
0.05,35,50,0.03,1000.03
0.05,35,60,0.03,1000.03
0.04,10,10,0.03,1000.03
0.05,35,80,0.03,1000.03
0.03,25,20,0.02,1000.02
